date,time,home_to_lpc,home_to_loop,lpc_to_home,loop_to_home
2026-07-25,17:01,3850,4247,2685,2507
2026-07-25,17:15,3808,4067,2699,2540
2026-07-25,17:30,3674,3924,2637,2583
2026-07-25,17:45,3572,3958,2564,2521
2026-07-25,18:00,3470,4190,2466,2415
2026-07-25,18:15,3804,4221,2372,2264
2026-07-25,18:30,3231,3977,2477,2287
2026-07-25,18:45,3133,3724,2418,2230
2026-07-25,19:00,3021,3391,2303,2166
2026-07-25,19:15,2882,3197,2492,2115
2026-07-25,19:30,2774,3037,2562,2181
2026-07-25,19:45,2674,2909,2582,2186
2026-07-25,20:00,2557,2874,2513,2179
2026-07-25,20:15,2527,2855,2445,2309
2026-07-25,20:30,2485,2896,2532,2315
2026-07-25,20:45,2359,2890,2278,2286
2026-07-25,21:00,2406,2706,2144,2201
2026-07-25,21:15,2362,2697,2206,2182
2026-07-25,21:30,2218,2799,2182,2191
2026-07-25,21:45,2068,2728,2164,2351
2026-07-25,22:00,1989,2601,2154,2361
2026-07-25,22:15,2160,2534,2336,2463
2026-07-25,22:30,2359,2407,2301,2535
2026-07-25,22:45,2084,2376,2300,2585
2026-07-26,06:00,1699,1919,1724,1889
2026-07-26,06:15,1693,1917,1735,1901
2026-07-26,06:30,1696,1921,1731,1908
2026-07-26,06:45,1705,1935,1746,1901
2026-07-26,07:00,1721,1936,1748,1890
2026-07-26,07:15,1708,1926,1744,1891
2026-07-26,07:30,1727,1943,1746,1921
2026-07-26,07:45,1731,1968,1769,1937
2026-07-26,08:00,1771,2005,1764,1925
2026-07-26,08:15,1776,1996,1787,1940
2026-07-26,08:30,1808,2034,1817,1951
2026-07-26,08:45,1845,2092,1831,1965
2026-07-26,09:00,1976,2115,1864,1977
2026-07-26,09:15,2052,2155,1893,1974
2026-07-26,09:30,2227,2215,1952,2003
2026-07-26,09:45,2639,2290,1961,2013
2026-07-26,10:00,2783,2509,2040,2044
2026-07-26,10:15,2721,2879,2022,2071
2026-07-26,10:30,2999,3069,2208,2100
2026-07-26,10:45,3115,3220,2292,2094
2026-07-26,11:00,3374,3207,2304,2130
2026-07-26,11:15,3585,3348,2422,2169
2026-07-26,11:30,3622,3523,2560,2156
2026-07-26,11:45,3582,3650,2603,2269
2026-07-26,12:00,3649,3727,2642,2251
2026-07-26,12:15,3985,3842,2697,2380
2026-07-26,12:30,4006,3872,2753,2514
2026-07-26,12:45,4010,3720,2766,2516
2026-07-26,13:00,4196,3645,2745,2510
2026-07-26,13:15,4019,3700,2706,2635
2026-07-26,13:30,4145,3705,2788,2524
2026-07-26,13:45,3712,3617,2722,2627
2026-07-26,14:00,3741,3790,2761,2575
2026-07-26,14:15,3785,3740,2872,2505
2026-07-26,14:30,3829,3561,2785,2504
2026-07-26,14:45,3787,3396,2760,2479
2026-07-26,15:00,3839,3353,2638,2454
2026-07-26,15:15,3775,3392,2761,2470
2026-07-26,15:30,3624,3127,2708,2516
2026-07-26,15:45,3535,3017,2694,2590
2026-07-26,16:00,3511,3209,2620,2595
2026-07-26,16:15,3335,3262,2749,2560
2026-07-26,16:30,3048,3194,2750,2482
2026-07-26,16:45,2967,3152,2555,2403
2026-07-26,17:00,2811,3013,2596,2440
2026-07-26,17:15,2838,2915,2492,2509
2026-07-26,17:30,2822,2935,2551,2454
2026-07-26,17:45,2843,2930,2544,2343
2026-07-26,18:00,2834,2690,2554,2318
2026-07-26,18:15,2803,2786,2715,2373
2026-07-26,18:30,2696,2828,2716,2437
2026-07-26,18:45,2657,2691,2772,2403
2026-07-26,19:00,2570,2671,2793,2332
2026-07-26,19:15,2477,2494,2638,2315
2026-07-26,19:30,2390,2481,2495,2287
2026-07-26,19:45,2226,2373,2379,2248
2026-07-26,20:00,2174,2285,2272,2218
2026-07-26,20:15,2045,2244,2218,2206
2026-07-26,20:30,2053,2207,2122,2129
2026-07-26,20:45,1967,2215,2057,2124
2026-07-26,21:00,1930,2223,1986,2140
2026-07-26,21:15,1946,2234,2027,2147
2026-07-26,21:30,1940,2205,1974,2113
2026-07-26,21:45,1906,2192,1957,2070
2026-07-26,22:00,1880,2157,1932,2070
2026-07-26,22:15,1874,2152,1926,2069
2026-07-26,22:30,1842,2160,1885,2037
2026-07-26,22:45,1813,2096,1873,2007
2026-07-27,06:00,2103,2326,1915,2099
2026-07-27,06:15,2473,2704,2019,2232
2026-07-27,06:30,2565,2883,2382,2556
2026-07-27,06:45,2751,3089,2492,2688
2026-07-27,07:00,2741,3003,2685,2775
2026-07-27,07:15,2780,3184,2860,2885
2026-07-27,07:30,2804,3323,2984,3066
2026-07-27,07:45,2722,3288,2882,2986
2026-07-27,08:00,2639,3133,2713,2794
2026-07-27,08:15,2661,3199,2753,2755
2026-07-27,08:30,2538,3052,2630,2713
2026-07-27,08:45,2428,3009,2595,2684
2026-07-27,09:00,2402,2902,2447,2508
2026-07-27,09:15,2272,2778,2361,2327
2026-07-27,09:30,2221,2679,2318,2265
